Fluxo,Ano,Países,Valor US$ FOB
Exportação ,2024,Dominica,2852411
Exportação ,2024,Martinica,2658938
Exportação ,2024,Armênia,2649276
Exportação ,2024,São Vicente e Granadinas,2528606
Exportação ,2024,Mongólia,2402966
Exportação ,2024,Papua Nova Guiné,2320367
Exportação ,2024,Tonga,2236865
Exportação ,2024,Guiana Francesa,2229572
Exportação ,2024,Belarus,1982695
Exportação ,2024,Reunião,1971183
Exportação ,2024,Mayotte,1794326
Exportação ,2024,São Tomé e Príncipe,1720894
Exportação ,2024,São Cristóvão e Névis,1692138
Exportação ,2024,Santa Lúcia,1568775
Exportação ,2024,Guiné-Bissau,1543169
Exportação ,2024,"Bonaire, Saint Eustatius e Saba",1356212
Exportação ,2024,Macau,1349768
Exportação ,2024,Butão,1304685
Exportação ,2024,Palau,1288682
Exportação ,2024,Nepal,1202808
Exportação ,2024,Afeganistão,1190697
Exportação ,2024,Namíbia,1168080
Exportação ,2024,Samoa,1129920
Exportação ,2024,Sudão do Sul,989536
Exportação ,2024,"Virgens, Ilhas (Britânicas)",890669
Exportação ,2024,Ruanda,841408
Exportação ,2024,"Turcas e Caicos, Ilhas",832398
Exportação ,2024,São Bartolomeu,821711
Exportação ,2024,Brunei,816957
Exportação ,2024,Malavi,808517
Exportação ,2024,República Centro-Africana,802797
Exportação ,2024,Vanuatu,758069
Exportação ,2024,Bósnia-Herzegovina,737507
Exportação ,2024,Turcomenistão,703566
Exportação ,2024,Níger,703420
Exportação ,2024,Anguilla,673991
Exportação ,2024,Samoa Americana,636112
Exportação ,2024,Mali,623633
Exportação ,2024,Fiji,580722
Exportação ,2024,Moldávia,575713
Exportação ,2024,"Heard e ilhas mcdonald, Ilha",425115
Exportação ,2024,Vaticano,400000
Exportação ,2024,Mônaco,277101
Exportação ,2024,"São Martinho, Ilha de (parte francesa)",272684
Exportação ,2024,Suazilândia,272160
Exportação ,2024,"Pacífico, Ilhas do (EUA)",204238
Exportação ,2024,Botsuana,194997
Exportação ,2024,Antártica,127253
Exportação ,2024,San Marino,126488
Exportação ,2024,"Norfolk, Ilha",120321
Exportação ,2024,Guam,104472
Exportação ,2024,Falkland (Malvinas),98353
Exportação ,2024,Micronésia,87992
Exportação ,2024,Montserrat,79350
Exportação ,2024,"Faroe, Ilhas",76020
Exportação ,2024,Terras Austrais Francesas,68612
Exportação ,2024,"Marianas do Norte, Ilhas",66569
Exportação ,2024,Tadjiquistão,62470
