Fluxo,Ano,Países,Valor US$ FOB
Importação ,2024,"Cocos (Keeling), Ilhas",80692
Importação ,2024,Cabo Verde,76604
Importação ,2024,Palestina,73521
Importação ,2024,"Cayman, Ilhas",71594
Importação ,2024,São Cristóvão e Névis,70513
Importação ,2024,Eritreia,56426
Importação ,2024,Guiné-Bissau,54972
Importação ,2024,Seicheles,52344
Importação ,2024,Burkina Faso,52135
Importação ,2024,Belize,52001
Importação ,2024,Andorra,46350
Importação ,2024,Gibraltar,44512
Importação ,2024,Papua Nova Guiné,40361
Importação ,2024,Suazilândia,37002
Importação ,2024,"Aland, Ilhas",35374
Importação ,2024,Burundi,28097
Importação ,2024,Anguilla,26804
Importação ,2024,Guernsey,26532
Importação ,2024,Nova Caledônia,25442
Importação ,2024,Polinésia Francesa,20738
Importação ,2024,Botsuana,19415
Importação ,2024,Gâmbia,17956
Importação ,2024,"Christmas (Navidad), Ilha",17229
Importação ,2024,Sudão,14614
Importação ,2024,Jamaica,14564
Importação ,2024,Níger,13958
Importação ,2024,Comores,12058
Importação ,2024,Uganda,12000
Importação ,2024,Niue,10444
Importação ,2024,"Pacífico, Ilhas do (EUA)",7296
Importação ,2024,Aruba,5602
Importação ,2024,Fiji,5431
Importação ,2024,"Turcas e Caicos, Ilhas",4819
Importação ,2024,"Geórgia do Sul e Sandwich do Sul, Ilhas",4692
Importação ,2024,"Cook, Ilhas",4232
Importação ,2024,"Bonaire, Saint Eustatius e Saba",3492
Importação ,2024,Mali,3266
Importação ,2024,Montenegro,2602
Importação ,2024,Kiribati,2080
Importação ,2024,Dominica,2010
Importação ,2024,Svalbard e Jan Mayen,1946
Importação ,2024,"Bouvet, Ilha",1888
Importação ,2024,Micronésia,1542
Importação ,2024,Somália,1512
Importação ,2024,Terras Austrais Francesas,1417
Importação ,2024,Ruanda,1378
Importação ,2024,Montserrat,1338
Importação ,2024,Togo,1284
Importação ,2024,Tuvalu,1142
Importação ,2024,Chade,1093
Importação ,2024,Pitcairn,763
Importação ,2024,Território Britânico do Oceano Índico,647
Importação ,2024,"Salomão, Ilhas",629
